Total Revenue,,,,,,
"$911,681,854",,,,,,
,,,,,,
Total Transactions,,,,,,
9436,,,,,,
,,,,,,
Unique Customer Count,4256,,,,,
,,,,,,
,,,,,,
Is_Return,Number of Transactions,,,,,
FALSE,6232,,,,,
TRUE,3204,,,,,
Grand Total,9436,,,,,
,,,,,,
,,,,,,
Return Rate,33.96%,,,,,
,,,,,,
,,,,,,
Product_Name,SUM of Cleaned Quantity,SUM of Revenue,Avg Price,,,
Tablet,"119,976",60384711.95,512.3948811,,,
Smartphone,"130,527",64693837.83,505.7011141,,,
Laptop,"116,635",57918112.27,505.8748047,,,
Headphones,"114,386",57643793.03,515.5974331,,,
Coffee Machine,"122,596",64567773.10,537.9751133,,,
Grand Total,"604,120",305208228.17,515.4778144,,,
,,,,,,
,,,,,,
Cleaned Date - Year-Month,Revenue Per Month,,,,,
2020-Jan,3574626.10,,,,,
2020-Feb,5744252.99,,,,,
2020-Mar,4039846.12,,,,,
2020-Apr,2878124.85,,,,,
2020-May,9193298.03,,,,,
2020-Jun,4098658.33,,,,,
2020-Jul,3571501.94,,,,,
2020-Aug,6731229.57,,,,,
2020-Sep,3107347.87,,,,,
2020-Oct,3785795.34,,,,,
2020-Nov,6144398.57,,,,,
2020-Dec,3655177.03,,,,,
2021-Jan,3412651.69,,,,,
2021-Feb,3909057.89,,,,,
2021-Mar,6473111.77,,,,,
2021-Apr,3488856.24,,,,,
2021-May,7930499.47,,,,,
2021-Jun,4476689.37,,,,,
2021-Jul,6048534.97,,,,,
2021-Aug,8116144.47,,,,,
2021-Sep,3854731.53,,,,,
2021-Oct,4980605.37,,,,,
2021-Nov,4021204.45,,,,,
2021-Dec,3623994.73,,,,,
2022-Jan,5280637.50,,,,,
2022-Feb,3787892.73,,,,,
2022-Mar,4395094.56,,,,,
2022-Apr,5308938.20,,,,,
2022-May,5884465.30,,,,,
2022-Jun,5150175.31,,,,,
2022-Jul,6874907.67,,,,,
2022-Aug,6035109.86,,,,,
2022-Sep,3964513.97,,,,,
2022-Oct,2699250.08,,,,,
2022-Nov,5098572.32,,,,,
2022-Dec,3960823.85,,,,,
2023-Jan,5924417.02,,,,,
2023-Feb,2817085.43,,,,,
2023-Mar,1797466.04,,,,,
2023-Apr,8274043.43,,,,,
2023-May,4115169.62,,,,,
2023-Jun,5565860.22,,,,,
2023-Jul,4896739.24,,,,,
2023-Aug,6421817.04,,,,,
2023-Sep,7282443.86,,,,,
2023-Oct,2703317.79,,,,,
2023-Nov,6856797.27,,,,,
2023-Dec,3996101.85,,,,,
2024-Jan,299693955.29,,,,,
2024-Feb,3269140.91,,,,,
2024-Mar,5873400.03,,,,,
2024-Apr,5212106.18,,,,,
2024-May,4832071.13,,,,,
2024-Jun,4018854.26,,,,,
2024-Jul,3660259.84,,,,,
2024-Aug,2794969.46,,,,,
2024-Sep,9424716.01,,,,,
2024-Oct,5000767.79,,,,,
2024-Nov,9095649.85,,,,,
2024-Dec,9706035.15,,,,,
2025-Jan,6727080.76,,,,,
2025-Feb,25805.73,,,,,
2025-Mar,305208228.17,,,,,
2025-Apr,-5560.40,,,,,
2025-May,356922.28,,,,,
2025-Jun,50220.14,,,,,
2025-Jul,143984.99,,,,,
2025-Aug,1337.06,,,,,
2025-Sep,4649.66,,,,,
2025-Oct,635280.68,,,,,
,,,,,,
,,,,,,
Cleaned Date - Year,Yearly Revenue,,,,,
2020,56524256.73,,,,,
2021,60336081.94,,,,,
2022,58440381.35,,,,,
2023,60651258.81,,,,,
2024,362581925.91,,,,,
2025,313147949.07,,,,,
Grand Total,911681853.81,,,,,
,,,,,,
Total Revenue,Total Transactions,Average Order Value,,,,
911681853.81,9436,96617.41,,,,
,,,,,,
,,,,,,
Product_Name,Revenue Per Product,,,,,
Smartphone,188528200.02,,,,,
Coffee Machine,185362868.11,,,,,
Laptop,182648621.05,,,,,
Tablet,179713720.74,,,,,
Headphones,175428443.89,,,,,
,,,,,,
,,,,,,
,,,,,,
SUM of Revenue,Product_Name,,,,,
Cleaned Date - Month,Coffee Machine,Headphones,Laptop,Smartphone,Tablet,Grand Total
Jan,65551009.67,67346083.01,60654475.93,69802736.29,61259063.45,324613368.35
Feb,2777143.23,2914278.27,4360785.53,4171014.60,5330014.05,19553235.68
Mar,67518462.37,61593342.65,64484334.44,69548075.61,64642931.62,327787146.69
Apr,3569197.07,4351626.42,5992289.00,5709765.90,5533630.12,25156508.51
May,7958454.61,5992526.29,6513962.72,6717329.30,5130152.91,32312425.83
Jun,6122598.80,2666739.99,5837560.44,4439907.07,4293651.32,23360457.63
Jul,6445002.64,3269459.36,5146764.10,5516692.62,4818009.94,25195928.66
Aug,6828004.78,6648285.44,6506244.19,4599659.68,5518413.37,30100607.46
Sep,4481533.41,4709934.25,5533368.24,6097317.91,6816249.10,27638402.90
Oct,3020533.70,2862883.72,4296110.81,4188346.17,5437142.64,19805017.04
Nov,4911218.54,8192326.52,5750968.36,4934317.84,7427791.19,31216622.46
Dec,6179709.29,4880957.98,7571757.29,2803037.03,3506671.02,24942132.61
Grand Total,185362868.11,175428443.89,182648621.05,188528200.02,179713720.74,911681853.81
,,,,,,
,,,,,,
Transaction_Status,Revenue,,,,,
Completed,540924620.74,,,,,
Failed,186204926.93,,,,,
Pending,184552306.15,,,,,
,,,,,,
,,,,,,
Is_Return,Return %,,,,,
FALSE,66.04%,,,,,
TRUE,33.96%,,,,,
,,,,,,
,,,,,,
Is_Return,SUM of Revenue,,,,,
FALSE,920896138.22,,,,,
TRUE,-9214284.40,,,,,
Grand Total,911681853.81,,,,,
,,,,,,
,,,,,,
Customer_ID,Order Count,,,,,
C002,2,,,,,
C004,1,,,,,
C005,1,,,,,
C006,2,,,,,
C007,1,,,,,
C008,1,,,,,
C009,2,,,,,
C010,1,,,,,
C011,4,,,,,
C013,4,,,,,
C014,5,,,,,
C015,2,,,,,
C016,1,,,,,
C017,1,,,,,
C019,5,,,,,
C020,5,,,,,
C021,4,,,,,
C022,1,,,,,
C023,1,,,,,
C024,2,,,,,
C025,2,,,,,
C026,1,,,,,
C027,1,,,,,
C028,2,,,,,
C029,2,,,,,
C030,1,,,,,
C031,1,,,,,
C032,2,,,,,
C033,1,,,,,
C034,1,,,,,
C035,4,,,,,
C036,1,,,,,
C037,3,,,,,
C038,2,,,,,
C039,1,,,,,
C040,2,,,,,
C041,2,,,,,
C042,1,,,,,
C043,4,,,,,
C045,3,,,,,
C047,2,,,,,
C048,2,,,,,
C049,2,,,,,
C050,3,,,,,
C051,2,,,,,
C052,4,,,,,
C054,2,,,,,
C055,1,,,,,
C056,3,,,,,
C058,2,,,,,
C059,1,,,,,
C060,2,,,,,
C061,5,,,,,
C062,2,,,,,
C063,3,,,,,
C065,2,,,,,
C066,1,,,,,
C067,1,,,,,
C068,2,,,,,
C070,3,,,,,
C071,3,,,,,
C072,2,,,,,
C073,2,,,,,
C074,3,,,,,
C075,5,,,,,
C076,4,,,,,
C077,1,,,,,
C078,1,,,,,
C079,2,,,,,
C081,4,,,,,
C082,2,,,,,
C083,2,,,,,
C084,2,,,,,
C086,4,,,,,
C088,3,,,,,
C089,2,,,,,
C090,4,,,,,
C091,2,,,,,
C092,2,,,,,
C093,3,,,,,
C094,2,,,,,
C095,2,,,,,
C096,1,,,,,
C097,2,,,,,
C098,4,,,,,
C099,3,,,,,
C100,3,,,,,
C1000,1,,,,,
C1002,4,,,,,
C1003,3,,,,,
C1004,4,,,,,
C1005,1,,,,,
C1006,2,,,,,
C1008,4,,,,,
C1009,2,,,,,
C101,1,,,,,
C1010,2,,,,,
C1011,1,,,,,
C1012,1,,,,,
C1013,5,,,,,
C1014,2,,,,,
C1015,1,,,,,
C1016,1,,,,,
C1017,1,,,,,
C1019,3,,,,,
C102,2,,,,,
C1020,1,,,,,
C1021,2,,,,,
C1022,2,,,,,
C1024,1,,,,,
C1025,2,,,,,
C1026,2,,,,,
C1027,3,,,,,
C1028,2,,,,,
C1029,2,,,,,
C103,5,,,,,
C1030,3,,,,,
C1031,3,,,,,
C1032,5,,,,,
C1034,5,,,,,
C1035,1,,,,,
C1036,2,,,,,
C1037,2,,,,,
C1039,1,,,,,
C104,2,,,,,
C1040,1,,,,,
C1041,2,,,,,
C1042,3,,,,,
C1043,6,,,,,
C1045,3,,,,,
C1046,2,,,,,
C1047,6,,,,,
C1049,1,,,,,
C105,2,,,,,
C1050,5,,,,,
C1051,4,,,,,
C1052,3,,,,,
C1053,1,,,,,
C1054,3,,,,,
C1055,3,,,,,
C1056,2,,,,,
C1057,1,,,,,
C1058,2,,,,,
C1059,1,,,,,
C1060,2,,,,,
C1061,1,,,,,
C1063,2,,,,,
C1064,3,,,,,
C1068,2,,,,,
C1069,1,,,,,
C107,4,,,,,
C1070,4,,,,,
C1071,3,,,,,
C1072,4,,,,,
C1074,2,,,,,
C1076,2,,,,,
C1077,1,,,,,
C1078,1,,,,,
C1079,4,,,,,
C1080,4,,,,,
C1081,2,,,,,
C1082,1,,,,,
C1083,4,,,,,
C1084,2,,,,,
C1085,2,,,,,
C1086,1,,,,,
C1087,3,,,,,
C1088,4,,,,,
C1089,1,,,,,
C109,1,,,,,
C1090,1,,,,,
C1091,2,,,,,
C1092,2,,,,,
C1093,1,,,,,
C1094,2,,,,,
C1095,1,,,,,
C1096,2,,,,,
C1097,3,,,,,
C1098,3,,,,,
C1099,3,,,,,
C1100,5,,,,,
C1101,1,,,,,
C1102,1,,,,,
C1103,1,,,,,
C1104,1,,,,,
C1105,2,,,,,
C1106,1,,,,,
C1108,4,,,,,
C111,1,,,,,
C1110,1,,,,,
C1111,1,,,,,
C1112,3,,,,,
C1113,1,,,,,
C1114,2,,,,,
C1116,2,,,,,
C1117,1,,,,,
C1118,1,,,,,
C1119,2,,,,,
C112,3,,,,,
C1120,3,,,,,
C1121,1,,,,,
C1122,3,,,,,
C1124,2,,,,,
C1125,1,,,,,
C1126,3,,,,,
C1127,2,,,,,
C1128,3,,,,,
C1129,2,,,,,
C113,7,,,,,
C1130,1,,,,,
C1131,2,,,,,
C1132,2,,,,,
C1133,2,,,,,
C1134,1,,,,,
C1135,1,,,,,
C1136,4,,,,,
C1137,4,,,,,
C1138,3,,,,,
C1139,7,,,,,
C114,2,,,,,
C1140,6,,,,,
C1141,2,,,,,
C1142,2,,,,,
C1143,3,,,,,
C1144,3,,,,,
C1146,2,,,,,
C1147,1,,,,,
C115,1,,,,,
C1150,2,,,,,
C1151,2,,,,,
C1152,1,,,,,
C1153,2,,,,,
C1154,3,,,,,
C1155,3,,,,,
C1156,2,,,,,
C1157,2,,,,,
C1158,2,,,,,
C1159,2,,,,,
C1160,1,,,,,
C1162,2,,,,,
C1163,2,,,,,
C1164,1,,,,,
C1165,1,,,,,
C1166,2,,,,,
C117,3,,,,,
C1171,5,,,,,
C1172,1,,,,,
C1173,4,,,,,
C1174,2,,,,,
C1175,5,,,,,
C1176,3,,,,,
C1177,2,,,,,
C1178,2,,,,,
C1179,2,,,,,
C118,4,,,,,
C1180,2,,,,,
C1181,2,,,,,
C1182,2,,,,,
C1183,1,,,,,
C1184,6,,,,,
C1186,4,,,,,
C1187,2,,,,,
C1188,3,,,,,
C1189,2,,,,,
C119,2,,,,,
C1190,1,,,,,
C1191,6,,,,,
C1192,1,,,,,
C1193,1,,,,,
C1194,4,,,,,
C1195,2,,,,,
C1196,3,,,,,
C1197,3,,,,,
C1198,1,,,,,
C1199,3,,,,,
C120,4,,,,,
C1200,2,,,,,
C1201,1,,,,,
C1202,2,,,,,
C1203,1,,,,,
C1204,2,,,,,
C1206,3,,,,,
C1207,2,,,,,
C1209,1,,,,,
C121,1,,,,,
C1210,2,,,,,
C1211,1,,,,,
C1212,1,,,,,
C1213,1,,,,,
C1214,2,,,,,
C1215,3,,,,,
C1217,3,,,,,
C1218,4,,,,,
C1219,3,,,,,
C1220,1,,,,,
C1221,3,,,,,
C1222,1,,,,,
C1223,2,,,,,
C1224,1,,,,,
C1225,2,,,,,
C1227,3,,,,,
C1228,3,,,,,
C1229,2,,,,,
C123,1,,,,,
C1230,3,,,,,
C1232,1,,,,,
C1233,1,,,,,
C1234,3,,,,,
C1235,2,,,,,
C1236,2,,,,,
C1237,2,,,,,
C1238,3,,,,,
C1239,2,,,,,
C124,1,,,,,
C1241,5,,,,,
C1242,3,,,,,
C1243,2,,,,,
C1244,2,,,,,
C1245,3,,,,,
C1246,4,,,,,
C1247,2,,,,,
C1248,2,,,,,
C1249,1,,,,,
C1250,2,,,,,
C1251,2,,,,,
C1252,1,,,,,
C1253,3,,,,,
C1254,2,,,,,
C1255,1,,,,,
C1257,2,,,,,
C1258,3,,,,,
C126,2,,,,,
C1262,2,,,,,
C1263,1,,,,,
C1264,4,,,,,
C1265,4,,,,,
C1266,1,,,,,
C1267,3,,,,,
C1268,8,,,,,
C1269,2,,,,,
C127,2,,,,,
C1270,2,,,,,
C1271,2,,,,,
C1272,1,,,,,
C1273,2,,,,,
C1274,3,,,,,
